DateTime,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
17:00.0,1.29417,1.29428,1.29417,1.29421,1.29443,1.29446,1.29441,1.29441
18:00.0,1.29421,1.29421,1.29419,1.29421,1.29441,1.29446,1.29438,1.29438
20:00.0,1.29421,1.29424,1.29417,1.29418,1.29438,1.29442,1.29438,1.29438
22:00.0,1.29418,1.29427,1.29409,1.29423,1.29438,1.29442,1.29427,1.29429
23:00.0,1.29423,1.29423,1.2942,1.29422,1.29429,1.29436,1.29429,1.29434
24:00.0,1.29422,1.29422,1.29383,1.29406,1.29434,1.29435,1.29405,1.29428
25:00.0,1.29406,1.29406,1.29387,1.29402,1.29428,1.29428,1.29406,1.29414
26:00.0,1.29402,1.29424,1.29402,1.29419,1.29414,1.29437,1.29414,1.29437
27:00.0,1.29419,1.2943,1.29419,1.29425,1.29437,1.2944,1.29436,1.29437
28:00.0,1.29425,1.29434,1.29425,1.29429,1.29437,1.29448,1.29436,1.29447
29:00.0,1.29429,1.29441,1.29428,1.29441,1.29447,1.29464,1.29446,1.29463
30:00.0,1.29441,1.29452,1.2943,1.2943,1.29463,1.29466,1.29449,1.2945
31:00.0,1.2943,1.2943,1.29423,1.29429,1.2945,1.29453,1.29438,1.29439
32:00.0,1.29429,1.29431,1.29426,1.29431,1.29439,1.29445,1.29437,1.29441
33:00.0,1.29431,1.29431,1.29394,1.29399,1.29441,1.29442,1.29411,1.29411
34:00.0,1.29399,1.2942,1.29392,1.29404,1.29411,1.2944,1.29411,1.2943
35:00.0,1.29404,1.29412,1.294,1.29412,1.2943,1.29435,1.29426,1.2943
36:00.0,1.29412,1.29417,1.29412,1.29417,1.2943,1.29437,1.2943,1.29437
37:00.0,1.29417,1.29455,1.2941,1.29453,1.29437,1.29468,1.29427,1.29461
38:00.0,1.29453,1.29453,1.2939,1.29416,1.29461,1.29461,1.29402,1.29431
39:00.0,1.29416,1.29433,1.29398,1.2942,1.29431,1.29445,1.29411,1.29441
40:00.0,1.2942,1.29423,1.29408,1.29415,1.29441,1.29445,1.2943,1.29441
41:00.0,1.29415,1.2943,1.29415,1.29419,1.29441,1.29454,1.29441,1.29442
42:00.0,1.29419,1.29453,1.29419,1.29419,1.29442,1.29459,1.29441,1.29441
43:00.0,1.29419,1.29421,1.29397,1.29401,1.29441,1.29445,1.29403,1.29406
44:00.0,1.29401,1.29407,1.29396,1.29401,1.29406,1.29408,1.29401,1.29407
45:00.0,1.29401,1.29401,1.29394,1.29394,1.29407,1.29408,1.29401,1.29401
46:00.0,1.29394,1.29406,1.29388,1.29405,1.29401,1.29414,1.29401,1.29411
47:00.0,1.29405,1.29421,1.29405,1.29417,1.29411,1.29422,1.29411,1.29422
